,Method,Subject,Accelerometer Axis,Average Degree,Network Diameter,Average path length,Activity
92,NVG,subject1,Z,1.6851699856788918,8,3.6224775784753365,Climbing Up
93,HVG,subject1,X,7.16197243913529,28,10.790118513773223,Climbing Up
94,HVG,subject1,Y,5.729577951308232,26,11.103939782190903,Climbing Up
95,HVG,subject1,Z,6.366197723675814,39,14.106302049967969,Climbing Up
96,NVG,subject1,X,2.1220659078919377,9,3.494795003203075,Climbing Up
97,NVG,subject1,Y,1.6851699856788918,7,3.212564061499039,Climbing Up
98,NVG,subject1,Z,1.7904931097838226,8,3.7544042280589367,Climbing Up
99,HVG,subject1,X,4.77464829275686,32,11.227538436899424,Climbing Up
100,HVG,subject1,Y,6.366197723675814,37,12.272141255605382,Climbing Up
101,HVG,subject1,Z,5.729577951308232,39,13.39033472133248,Climbing Up
102,NVG,subject1,X,2.38732414637843,6,3.5364349775784754,Climbing Up
103,NVG,subject1,Y,2.1220659078919377,8,3.646260409993594,Climbing Up
104,NVG,subject1,Z,2.04627783975294,7,3.457359064702114,Climbing Up
105,HVG,subject1,X,4.77464829275686,17,7.114549967969251,Climbing Up
106,HVG,subject1,Y,4.407367654852487,21,6.667801089045484,Climbing Up
107,HVG,subject1,Z,5.208707228462029,22,9.333520179372197,Climbing Up
108,NVG,subject1,X,1.9757165349338732,8,3.5309497117232542,Climbing Up
109,NVG,subject1,Y,1.9757165349338732,9,3.5122517616912234,Climbing Up
110,NVG,subject1,Z,1.909859317102744,7,3.5433215887251763,Climbing Up
111,HVG,subject1,X,7.16197243913529,19,8.99723734785394,Climbing Up
112,HVG,subject1,Y,5.208707228462029,16,7.828195067264574,Climbing Up
113,HVG,subject1,Z,6.366197723675814,22,9.986467008327995,Climbing Up
114,NVG,subject1,X,1.7362357428206765,8,3.414037475976938,Climbing Up
115,NVG,subject1,Y,1.8482509520349135,6,3.2292600896860986,Climbing Up
116,NVG,subject1,Z,2.04627783975294,9,3.8866511851377323,Climbing Up
117,HVG,subject1,X,6.366197723675813,30,12.555813581037796,Climbing Up
118,HVG,subject1,Y,6.366197723675814,28,10.791920243433696,Climbing Up
119,HVG,subject1,Z,5.208707228462029,24,9.360906470211402,Climbing Up
120,NVG,subject1,X,1.9757165349338732,5,3.1592328635490072,Climbing Up
121,NVG,subject1,Y,2.04627783975294,7,3.283832479180013,Climbing Up
122,NVG,subject1,Z,2.1220659078919377,9,3.9334561178731584,Climbing Up
123,HVG,subject1,X,5.208707228462029,20,7.931494234465086,Climbing Up
124,HVG,subject1,Y,6.366197723675814,17,7.8834881486226775,Climbing Up
125,HVG,subject1,Z,6.366197723675813,26,10.252202114029469,Climbing Up
126,NVG,subject1,X,1.5485345814346572,6,2.7172485586162716,CLimbing Down
127,NVG,subject1,Y,1.6851699856788918,8,3.128723574631646,CLimbing Down
128,NVG,subject1,Z,2.04627783975294,8,3.5088484945547727,CLimbing Down
129,HVG,subject1,X,5.208707228462029,17,7.966247597693786,CLimbing Down
130,HVG,subject1,Y,6.366197723675813,20,8.769738949391416,CLimbing Down
131,HVG,subject1,Z,5.208707228462029,22,8.225456438180654,CLimbing Down
132,NVG,subject1,X,1.8482509520349135,10,3.7392696989109546,CLimbing Down
133,NVG,subject1,Y,1.6851699856788918,7,3.4727338244714927,CLimbing Down
134,NVG,subject1,Z,1.4691225516174955,10,3.5666639974375403,CLimbing Down
135,HVG,subject1,X,7.16197243913529,28,10.07286995515695,CLimbing Down
136,HVG,subject1,Y,6.366197723675813,26,12.190703074951953,CLimbing Down
137,HVG,subject1,Z,5.729577951308232,28,11.611066623959001,CLimbing Down
138,NVG,subject1,X,2.38732414637843,10,4.117993273542601,CLimbing Down
139,NVG,subject1,Y,1.637022271802352,7,2.9996796925048046,CLimbing Down
140,NVG,subject1,Z,1.7904931097838226,7,3.5659833440102497,CLimbing Down
141,HVG,subject1,X,6.366197723675813,25,11.740470852017937,CLimbing Down
142,HVG,subject1,Y,4.407367654852487,22,8.005765534913516,CLimbing Down
143,HVG,subject1,Z,5.729577951308233,27,11.229660474055093,CLimbing Down
144,NVG,subject1,X,2.1220659078919377,6,3.084441063420884,CLimbing Down
145,NVG,subject1,Y,1.909859317102744,8,3.7188500960922486,CLimbing Down
146,NVG,subject1,Z,2.2036838274262434,7,3.4440663036515056,CLimbing Down
147,HVG,subject1,X,5.208707228462029,16,6.9453074951953875,CLimbing Down
148,HVG,subject1,Y,5.729577951308233,19,8.087363869314542,CLimbing Down
149,HVG,subject1,Z,5.729577951308233,18,8.116271620755926,CLimbing Down
150,NVG,subject1,X,2.38732414637843,7,3.528667520819987,CLimbing Down
151,NVG,subject1,Y,1.909859317102744,9,4.0914878283151825,CLimbing Down
152,NVG,subject1,Z,2.1220659078919377,7,3.3910954516335683,CLimbing Down
153,HVG,subject1,X,6.366197723675813,24,9.034112748238309,CLimbing Down
154,HVG,subject1,Y,7.16197243913529,22,9.007887572069187,CLimbing Down
155,HVG,subject1,Z,5.729577951308232,16,6.902106021780909,CLimbing Down
156,NVG,subject1,X,1.7904931097838226,7,3.2570467648942985,CLimbing Down
157,NVG,subject1,Y,1.5915494309189533,7,3.2262572069186417,CLimbing Down
158,NVG,subject1,Z,2.2036838274262434,8,3.50764734144779,CLimbing Down
159,HVG,subject1,X,6.366197723675814,24,9.064702114029469,CLimbing Down
160,HVG,subject1,Y,6.366197723675813,23,8.866832158872517,CLimbing Down
161,HVG,subject1,Z,4.7746482927568605,17,6.954196028187059,CLimbing Down
162,NVG,subject1,X,1.9757165349338732,10,3.955277065983344,CLimbing Down
163,NVG,subject1,Y,2.2036838274262434,9,3.5645419602818706,CLimbing Down
164,NVG,subject1,Z,2.04627783975294,7,3.238549007046765,CLimbing Down
165,HVG,subject1,X,6.366197723675813,26,9.532751441383729,CLimbing Down
166,HVG,subject1,Y,6.366197723675813,17,7.777106021780909,CLimbing Down
167,HVG,subject1,Z,5.208707228462029,19,8.070307495195388,CLimbing Down
168,NVG,subject2,X,1.9757165349338732,11,3.9300928891736064,Walking
169,NVG,subject2,Y,2.2036838274262434,8,3.6472213324791802,Walking
170,NVG,subject2,Z,2.04627783975294,10,3.690903267136451,Walking
171,HVG,subject2,X,4.77464829275686,23,8.914437860345933,Walking
172,HVG,subject2,Y,7.16197243913529,25,9.867512812299807,Walking
173,HVG,subject2,Z,4.407367654852487,23,7.79095932094811,Walking
174,NVG,subject2,X,2.38732414637843,11,4.545563741191544,Walking
175,NVG,subject2,Y,2.291831180523293,10,3.7580076873798847,Walking
176,NVG,subject2,Z,2.04627783975294,6,3.233544202434337,Walking
177,HVG,subject2,X,5.729577951308232,29,12.561418962203716,Walking
178,HVG,subject2,Y,5.729577951308233,19,8.764734144778988,Walking
179,HVG,subject2,Z,7.16197243913529,19,8.620475656630365,Walking
180,NVG,subject2,X,2.1220659078919377,7,3.2891976297245353,Walking
181,NVG,subject2,Y,2.2036838274262434,8,3.573270339525945,Walking
182,NVG,subject2,Z,1.909859317102744,7,3.4467088404868673,Walking
183,HVG,subject2,X,4.09255567950588,13,5.874599615631006,Walking
184,HVG,subject2,Y,6.366197723675813,24,9.21180333119795,Walking
185,HVG,subject2,Z,4.407367654852487,21,8.729580397181294,Walking
186,NVG,subject2,X,2.04627783975294,8,3.66039397821909,Walking
187,NVG,subject2,Y,2.38732414637843,17,6.203955797565663,Walking
188,NVG,subject2,Z,2.1220659078919377,7,3.394018257527226,Walking
189,HVG,subject2,X,4.77464829275686,17,7.835121716848175,Walking
190,HVG,subject2,Y,4.77464829275686,24,9.405429212043561,Walking
191,HVG,subject2,Z,4.77464829275686,14,6.244995195387572,Walking
192,NVG,subject2,X,2.38732414637843,8,3.6687219730941703,Walking
193,NVG,subject2,Y,2.6043536142310146,15,5.908151825752722,Walking
194,NVG,subject2,Z,2.1220659078919377,8,3.5948910954516338,Walking
195,HVG,subject2,X,5.208707228462029,14,6.725016015374759,Walking
196,HVG,subject2,Y,5.729577951308232,21,8.309497117232544,Walking
197,HVG,subject2,Z,4.09255567950588,15,6.763573030108905,Walking
198,NVG,subject2,X,2.291831180523293,9,3.8668321588725174,Walking
199,NVG,subject2,Y,2.2036838274262434,8,3.6511450992953236,Walking
200,NVG,subject2,Z,1.909859317102744,9,3.6471012171684816,Walking
201,HVG,subject2,X,5.208707228462029,24,9.07567264573991,Walking
202,HVG,subject2,Y,7.16197243913529,25,10.378643497757848,Walking
203,HVG,subject2,Z,6.366197723675813,20,8.882527226137091,Walking
204,NVG,subject2,X,2.2036838274262434,8,3.6667600896860986,Walking
205,NVG,subject2,Y,2.291831180523293,8,3.720771941063421,Walking
206,NVG,subject2,Z,2.1220659078919377,8,3.3142616912235745,Walking
207,HVG,subject2,X,6.366197723675813,18,8.41319666880205,Walking
208,HVG,subject2,Y,5.208707228462029,13,6.672005124919923,Walking
209,HVG,subject2,Z,5.208707228462029,12,5.868713965406791,Walking
210,NVG,subject2,X,2.291831180523293,7,3.6541079436258808,Running
211,NVG,subject2,Y,3.819718634205488,54,18.72833920563741,Running
212,NVG,subject2,Z,2.8647889756541165,7,3.884769378603459,Running
213,HVG,subject2,X,4.77464829275686,17,6.882327033952595,Running
214,HVG,subject2,Y,7.16197243913529,60,21.373798846893017,Running
215,HVG,subject2,Z,4.407367654852487,14,6.022141255605381,Running
216,NVG,subject2,X,1.8482509520349135,7,3.567064381806534,Running
217,NVG,subject2,Y,3.1830988618379066,9,4.309817424727739,Running
218,NVG,subject2,Z,2.6043536142310146,7,3.541479820627803,Running
219,HVG,subject2,X,5.729577951308232,18,8.540639013452914,Running
220,HVG,subject2,Y,8.18511135901176,24,10.548926969891095,Running
221,HVG,subject2,Z,4.77464829275686,16,7.157871556694427,Running
222,NVG,subject2,X,2.2036838274262434,9,3.789437860345932,Running
223,NVG,subject2,Y,3.3703399713577835,37,12.867672966047406,Running
224,NVG,subject2,Z,2.72837045300392,9,4.1585121716848175,Running
225,HVG,subject2,X,5.729577951308233,18,6.745515695067264,Running
226,HVG,subject2,Y,7.16197243913529,44,14.795523702754645,Running
227,HVG,subject2,Z,4.09255567950588,11,5.648902946828956,Running
228,NVG,subject2,X,2.72837045300392,17,6.6684417040358746,Running
229,NVG,subject2,Y,3.3703399713577835,29,11.078875720691864,Running
230,NVG,subject2,Z,2.291831180523293,6,3.3888532991672005,Running
231,HVG,subject2,X,7.16197243913529,22,9.948310377962844,Running
232,HVG,subject2,Y,5.729577951308233,32,12.817544843049328,Running
233,HVG,subject2,Z,4.09255567950588,13,6.6729660474055095,Running
234,NVG,subject2,X,2.72837045300392,8,3.8587844330557335,Running
235,NVG,subject2,Y,4.09255567950588,47,16.660674247277385,Running
236,NVG,subject2,Z,2.4911208483948837,11,4.603259128763613,Running
237,HVG,subject2,X,5.729577951308233,14,6.628203074951954,Running
238,HVG,subject2,Y,7.16197243913529,52,18.101657591287637,Running
239,HVG,subject2,Z,4.77464829275686,14,6.300528507367073,Running
240,NVG,subject2,X,2.04627783975294,7,3.2769058295964126,Running
241,NVG,subject2,Y,3.580986219567645,61,21.03203074951954,Running
242,NVG,subject2,Z,2.04627783975294,7,3.612147661755285,Running
243,HVG,subject2,X,4.77464829275686,20,8.251561499039077,Running
244,HVG,subject2,Y,8.18511135901176,69,23.875200192184497,Running
245,HVG,subject2,Z,5.729577951308232,18,8.241832158872517,Running
246,NVG,subject2,X,3.819718634205488,54,17.85470051249199,Running
247,NVG,subject2,Y,2.6043536142310146,10,3.894859064702114,Running
248,NVG,subject2,Z,2.38732414637843,8,3.5442024343369636,Running
249,HVG,subject2,X,7.16197243913529,55,19.575872837924408,Running
250,HVG,subject2,Y,5.208707228462029,12,6.075872837924408,Running
251,HVG,subject2,Z,4.407367654852487,13,6.0694266495836,Running
252,NVG,subject2,X,1.909859317102744,10,3.5860025624599614,Climbing Up
253,NVG,subject2,Y,2.2036838274262434,10,3.9198430493273544,Climbing Up
254,NVG,subject2,Z,2.4911208483948837,14,4.242632927610506,Climbing Up
255,HVG,subject2,X,5.729577951308232,20,9.277586483023702,Climbing Up
256,HVG,subject2,Y,7.16197243913529,26,10.929932735426009,Climbing Up
257,HVG,subject2,Z,4.77464829275686,27,8.235866431774504,Climbing Up
258,NVG,subject2,X,2.1220659078919377,8,3.797445547725817,Climbing Up
259,NVG,subject2,Y,2.04627783975294,9,3.850856822549648,Climbing Up
260,NVG,subject2,Z,1.6851699856788918,10,3.4266095451633567,Climbing Up
261,HVG,subject2,X,5.208707228462029,20,8.092729019859064,Climbing Up
262,HVG,subject2,Y,6.366197723675813,24,9.884809417040358,Climbing Up
263,HVG,subject2,Z,5.208707228462029,21,10.538436899423447,Climbing Up
264,NVG,subject2,X,2.04627783975294,11,4.5234224855861624,Climbing Up
265,NVG,subject2,Y,2.291831180523293,10,4.107903587443946,Climbing Up
266,NVG,subject2,Z,2.1220659078919377,7,3.2423926969891097,Climbing Up
267,HVG,subject2,X,5.208707228462029,22,8.182415118513774,Climbing Up
268,HVG,subject2,Y,5.208707228462029,24,8.27013933376041,Climbing Up
269,HVG,subject2,Z,4.09255567950588,17,6.927690582959642,Climbing Up
270,NVG,subject2,X,2.291831180523293,8,3.875840807174888,Climbing Up
271,NVG,subject2,Y,2.1220659078919377,12,4.551849775784754,Climbing Up
272,NVG,subject2,Z,2.38732414637843,8,3.5199791800128124,Climbing Up
273,HVG,subject2,X,5.208707228462029,16,6.649983984625241,Climbing Up
274,HVG,subject2,Y,5.208707228462029,19,7.957919602818706,Climbing Up
275,HVG,subject2,Z,4.407367654852487,18,7.809417040358745,Climbing Up
276,NVG,subject2,X,1.909859317102744,8,3.599175208199872,Climbing Up
277,NVG,subject2,Y,2.04627783975294,8,3.6625960922485588,Climbing Up
278,NVG,subject2,Z,1.909859317102744,8,3.439181614349776,Climbing Up
279,HVG,subject2,X,6.366197723675813,20,9.667240550928891,Climbing Up
280,HVG,subject2,Y,8.18511135901176,26,11.078074951953877,Climbing Up
281,HVG,subject2,Z,6.366197723675814,19,8.486507046764894,Climbing Up
282,NVG,subject2,X,2.1220659078919377,7,3.499239269698911,Climbing Up
283,NVG,subject2,Y,2.2036838274262434,7,3.3482543241511853,Climbing Up
284,NVG,subject2,Z,2.04627783975294,7,3.4735746316463807,Climbing Up
285,HVG,subject2,X,7.16197243913529,20,9.24587604099936,Climbing Up
286,HVG,subject2,Y,5.729577951308233,13,6.49231262011531,Climbing Up
287,HVG,subject2,Z,4.77464829275686,22,8.420563741191543,Climbing Up
288,NVG,subject2,X,2.04627783975294,8,3.7023942985265856,CLimbing Down
289,NVG,subject2,Y,2.38732414637843,11,4.929412235746317,CLimbing Down
290,NVG,subject2,Z,2.72837045300392,10,4.633728379244074,CLimbing Down
291,HVG,subject2,X,6.366197723675813,20,9.445547725816784,CLimbing Down
292,HVG,subject2,Y,8.18511135901176,32,10.9583199871877,CLimbing Down
293,HVG,subject2,Z,4.77464829275686,22,9.011290839205637,CLimbing Down
294,NVG,subject2,X,2.2036838274262434,8,3.9150384368994233,CLimbing Down
295,NVG,subject2,Y,1.6851699856788918,7,3.2094811018577833,CLimbing Down
296,NVG,subject2,Z,1.909859317102744,9,3.837924407431134,CLimbing Down
297,HVG,subject2,X,5.208707228462029,25,9.890174567584882,CLimbing Down
298,HVG,subject2,Y,5.729577951308233,27,11.00632607303011,CLimbing Down
299,HVG,subject2,Z,6.366197723675813,25,10.45475656630365,CLimbing Down
300,NVG,subject2,X,1.4691225516174955,7,3.1242793081358102,CLimbing Down
301,NVG,subject2,Y,1.9757165349338732,7,3.3406870595771943,CLimbing Down
302,NVG,subject2,Z,1.6851699856788918,10,4.312259769378604,CLimbing Down
303,HVG,subject2,X,4.77464829275686,26,11.001201153106983,CLimbing Down
304,HVG,subject2,Y,6.366197723675813,20,8.993914157591288,CLimbing Down
305,HVG,subject2,Z,6.366197723675814,41,17.03543401665599,CLimbing Down
306,NVG,subject2,X,2.4911208483948837,8,3.8910153747597693,CLimbing Down
307,NVG,subject2,Y,2.38732414637843,9,4.249639654067905,CLimbing Down
308,NVG,subject2,Z,2.2036838274262434,7,3.396901024983985,CLimbing Down
309,HVG,subject2,X,4.77464829275686,18,6.550808776425368,CLimbing Down
310,HVG,subject2,Y,6.366197723675813,23,8.62984465086483,CLimbing Down
311,HVG,subject2,Z,4.77464829275686,15,6.219811018577834,CLimbing Down
312,NVG,subject2,X,2.4911208483948837,7,3.5260650224215246,CLimbing Down
313,NVG,subject2,Y,2.38732414637843,13,6.109144778987829,CLimbing Down
314,NVG,subject2,Z,2.4911208483948837,8,3.5856422165278667,CLimbing Down
315,HVG,subject2,X,5.208707228462029,18,7.708440102498399,CLimbing Down
316,HVG,subject2,Y,6.366197723675814,19,8.70627802690583,CLimbing Down
317,HVG,subject2,Z,4.77464829275686,12,5.877922805893658,CLimbing Down
318,NVG,subject2,X,2.2036838274262434,11,4.016455797565663,CLimbing Down
319,NVG,subject2,Y,2.1220659078919377,10,3.577474375400384,CLimbing Down
320,NVG,subject2,Z,2.2036838274262434,7,3.4462283792440744,CLimbing Down
321,HVG,subject2,X,6.366197723675813,26,10.399463484945548,CLimbing Down
322,HVG,subject2,Y,5.729577951308233,21,8.859184817424728,CLimbing Down
323,HVG,subject2,Z,5.729577951308233,22,8.879604420243433,CLimbing Down
324,NVG,subject2,X,2.2036838274262434,18,7.004684497117233,CLimbing Down
325,NVG,subject2,Y,2.4911208483948837,7,3.595531710442024,CLimbing Down
326,NVG,subject2,Z,2.291831180523293,6,3.443385650224215,CLimbing Down
327,HVG,subject2,X,6.366197723675813,27,10.854500320307496,CLimbing Down
328,HVG,subject2,Y,6.366197723675813,16,7.229019859064702,CLimbing Down
329,HVG,subject2,Z,5.208707228462029,15,6.852178090967328,CLimbing Down
330,NVG,subject3,X,1.6851699856788918,10,3.710001601537476,Walking
331,NVG,subject3,Y,1.8482509520349135,8,3.3546204356181937,Walking
332,NVG,subject3,Z,2.1220659078919377,11,3.8870515695067263,Walking
333,HVG,subject3,X,5.208707228462029,23,9.968329596412556,Walking
334,HVG,subject3,Y,8.18511135901176,28,12.495315502882768,Walking
335,HVG,subject3,Z,4.77464829275686,18,6.549727738629084,Walking
336,NVG,subject3,X,2.1220659078919377,8,3.81390134529148,Walking
337,NVG,subject3,Y,1.9757165349338732,7,3.379724535554132,Walking
338,NVG,subject3,Z,1.6851699856788918,7,3.4203235105701473,Walking
339,HVG,subject3,X,8.18511135901176,34,12.73890935297886,Walking
340,HVG,subject3,Y,6.366197723675813,23,10.447829916720051,Walking
341,HVG,subject3,Z,5.729577951308233,26,9.6598334401025,Walking
342,NVG,subject3,X,1.507783671396903,6,2.9785794362588085,Walking
343,NVG,subject3,Y,1.637022271802352,8,3.0728699551569507,Walking
344,NVG,subject3,Z,1.6851699856788918,8,3.103179051889814,Walking
345,HVG,subject3,X,5.208707228462029,28,10.38472934016656,Walking
346,HVG,subject3,Y,5.208707228462029,25,9.63681133888533,Walking
347,HVG,subject3,Z,5.729577951308233,23,9.766896220371557,Walking
348,NVG,subject3,X,1.8482509520349135,10,4.146700832799487,Walking
349,NVG,subject3,Y,2.1220659078919377,14,5.7319426649583605,Walking
350,NVG,subject3,Z,1.9757165349338732,8,3.224375400384369,Walking
351,HVG,subject3,X,5.729577951308233,23,9.094250480461243,Walking
352,HVG,subject3,Y,5.208707228462029,26,9.939421844971172,Walking
353,HVG,subject3,Z,4.407367654852487,19,7.202914798206278,Walking
354,NVG,subject3,X,2.291831180523293,8,3.4114349775784754,Walking
355,NVG,subject3,Y,2.38732414637843,9,3.7172485586162716,Walking
356,NVG,subject3,Z,1.9757165349338732,7,3.6465006406149905,Walking
357,HVG,subject3,X,5.208707228462029,14,6.3115791159513135,Walking
358,HVG,subject3,Y,6.366197723675813,17,7.6412155669442665,Walking
359,HVG,subject3,Z,4.407367654852487,19,7.389333760409993,Walking
360,NVG,subject3,X,2.38732414637843,8,3.878843689942345,Walking
361,NVG,subject3,Y,2.38732414637843,9,3.917761050608584,Walking
362,NVG,subject3,Z,1.5485345814346574,8,3.406510249839846,Walking
363,HVG,subject3,X,6.366197723675813,23,10.198991031390134,Walking
364,HVG,subject3,Y,6.366197723675813,34,12.382807495195388,Walking
365,HVG,subject3,Z,7.16197243913529,30,11.397461563100576,Walking
366,NVG,subject3,X,2.2036838274262434,10,3.9239269698910952,Walking
367,NVG,subject3,Y,2.38732414637843,9,3.8171844971172324,Walking
368,NVG,subject3,Z,2.72837045300392,10,3.924647661755285,Walking
369,HVG,subject3,X,6.366197723675813,28,10.721412556053812,Walking
370,HVG,subject3,Y,5.729577951308232,19,7.676969891095451,Walking
371,HVG,subject3,Z,4.77464829275686,18,6.6739670083279945,Walking
372,NVG,subject3,X,1.7362357428206765,8,3.3533792440743113,Running
373,NVG,subject3,Y,3.3703399713577835,61,21.24103139013453,Running
374,NVG,subject3,Z,2.4911208483948837,7,3.511050608584241,Running
375,HVG,subject3,X,4.77464829275686,16,7.181093850096092,Running
376,HVG,subject3,Y,7.16197243913529,68,23.807174887892376,Running
377,HVG,subject3,Z,5.208707228462029,11,5.721452594490711,Running
378,NVG,subject3,X,2.04627783975294,11,3.8603859705317105,Running
379,NVG,subject3,Y,2.8647889756541165,12,4.470932094811019,Running
380,NVG,subject3,Z,1.9757165349338732,7,3.61667200512492,Running
